,Unnamed: 0,department,division,position_title,city,gender,ethnicity,education,veteran_status,startyear,birthyear,tenure,age
629,629,Police,Police Field Operations-Sworn,Police Officer,Virginia Beach,Male,White,Some College,Not a Veteran,2018,1996,5,27
630,630,Sheriff and Jail,Judicial - Sheriff and Jail,MicrocomputerSystemsAnalystSC,Norfolk,Male,Black,Bachelors Level Degree,Not a Veteran,2006,1988,17,35
631,631,Libraries,Programming Services,Library Assistant II,Norfolk,Female,Black,Some College,Not a Veteran,2021,1986,2,37
632,632,Public Works,PW Div of Streets & Bridges,Equipment Operator II,Chesapeake,Male,Black,Not Indicated,Not a Veteran,1987,1955,36,68
633,633,City Planning,City Planning - Dir Office,Director of Planning,Chesapeake,Female,White,Not Indicated,Not a Veteran,1994,1964,29,59
634,634,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),Chesapeake,Male,Black,HS Graduate or Equivalent,Not a Veteran,2014,1980,9,43
635,635,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),Norfolk,Female,Black,Not Indicated,Not a Veteran,2000,1978,23,45
636,636,Information Technology,Information Technology,Microcomputer Sys Analyst Sr,Suffolk,Male,Black,Bachelors Level Degree,Not a Veteran,2022,1970,1,53
637,637,Finance,Finance City Controller,City Controller,Virginia Beach,Female,White,Some Graduate School,Not a Veteran,2015,1970,8,53
638,638,Human Services,Hum Svc Div of Social Services,Human Services Aide,Norfolk,Female,Black,HS Graduate or Equivalent,Not a Veteran,2007,1990,16,33
639,639,Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist III,Hampton,Male,Black,Not Indicated,Not a Veteran,2014,1967,9,56
640,640,Police,Police Investigative Svc-Sworn,Police Lieutenant,Chesapeake,Male,Black,Not Indicated,Not a Veteran,2001,1972,22,51
641,641,Fire-Rescue,Fire-Rescue,Firefighter EMT-P,Chesapeake,Male,Black,Not Indicated,Not a Veteran,2013,1973,10,50
642,642,Fire-Rescue,Fire-Rescue,Fire Captain,Norfolk,Male,White,Not Indicated,Not a Veteran,1988,1962,35,61
643,643,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,Virginia Beach,Male,White,HS Graduate or Equivalent,Not a Veteran,1972,1954,51,69
644,644,Finance,Finance City Controller,Sr Accountant IV (Fin only),Hampton,Female,Black,Masters Level Degree,Not a Veteran,2023,1980,0,43
645,645,Fire-Rescue,Fire-Rescue,Firefighter EMT - Advanced,Norfolk,Male,Asian,Some College,Not a Veteran,2020,1990,3,33
646,646,Finance,Finance Retirement Bureau,Retirement Benefits Admin,Moyock,Female,White,Bachelors Level Degree,Not a Veteran,2015,1984,8,39
647,647,Libraries,Branch Operations,Library Associate II,Norfolk,Female,White,Masters Level Degree,Not a Veteran,2022,1995,1,28
648,648,City Planning,Planning-Planning,Principal Planner,Virginia Beach,Male,White,Bachelors Level Degree,Not a Veteran,2021,1981,2,42
649,649,Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist I,Virginia Beach,Male,Black,Bachelors Level Degree,Not a Veteran,2019,1956,4,67
650,650,City Planning,Planning - Bldg Constr,"Codes Specialist, Senior",Chesapeake,Male,White,Some College,Not a Veteran,2022,1965,1,58
651,651,"Cultural Facilities, Arts and Entertainment","CulturalFaciities,Arts&Entrmnt",Ticket Seller,Chesapeake,Female,Black,Bachelors Level Degree,Not a Veteran,2007,1956,16,67
652,652,City Planning,Planning - Bldg Constr,Administrative Technician,Norfolk,Female,Black,Some College,Not a Veteran,2022,1962,1,61
653,653,City Attorney,Law,Assistant City Attorney I,Virginia Beach,Male,White,Masters Level Degree,Not a Veteran,2020,1992,3,31
654,654,Human Services,Hum Svc Div of Social Services,Family Services Worker I,Suffolk,Female,Black,Bachelors Level Degree,Not a Veteran,2022,1976,1,47
655,655,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),Norfolk,Male,Black,Not Indicated,Not a Veteran,2001,1977,22,46
656,656,Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Norfolk,Female,Black,Some College,Not a Veteran,2017,1982,6,41
657,657,Police,Police Administrative Svcs-Swn,Police Recruit,Virginia Beach,Male,White,Bachelors Level Degree,Not a Veteran,2023,1980,0,43
658,658,Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Portsmouth,Female,Black,Bachelors Level Degree,Not a Veteran,2013,1959,10,64
659,659,Human Services,Hum Svc Div of Social Services,Benefit Programs Supervisor,Virginia Beach,Female,Black,Not Indicated,Not a Veteran,1990,1963,33,60
660,660,City Attorney,Law,Support Technician,Norfolk,Male,White,Associate Degree,Not a Veteran,2017,1984,6,39
661,661,Finance,Finance City Controller,Payroll Manager,Chesapeake,Female,White,Some College,Not a Veteran,2015,1969,8,54
662,662,Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist Sr,Virginia Beach,Female,Black,Some College,Not a Veteran,2021,1979,2,44
663,663,City Attorney,Law,Legal Secretary II,Norfolk,Female,White,Not Indicated,Not a Veteran,2020,1961,3,62
664,664,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),Norfolk,Male,White,HS Graduate or Equivalent,Not a Veteran,2010,1986,13,37
665,665,"Cultural Facilities, Arts and Entertainment","CulturalFaciities,Arts&Entrmnt",Event Coordinator II,Virginia Beach,Male,White,Associate Degree,Not a Veteran,2014,1984,9,39
666,666,Fire-Rescue,Fire-Rescue,Fire Captain,Virginia Beach,Male,White,Not Indicated,Not a Veteran,1997,1970,26,53
667,667,Police,Police Administrative Svcs-Swn,Police Recruit,Norfolk,Male,White,Bachelors Level Degree,Not a Veteran,2023,1999,0,24
668,668,Police,Police Investigative Svc-Sworn,Master Police Officer,Virginia Beach,Male,White,Not Indicated,Not a Veteran,2002,1975,21,48
669,669,Norfolk Community Services Board,NCSB-Emergency Services,Administrative Assistant I,Chesapeake,Male,White,Some College,Not a Veteran,2023,1984,0,39
670,670,Libraries,Branch Operations,Library Associate  I,Virginia Beach,Female,White,Bachelors Level Degree,Not a Veteran,2018,1995,5,28
671,671,Public Works,PW Storm Water Mgmt,Maintenance Worker I,Norfolk,Male,Black,HS Graduate or Equivalent,Not a Veteran,2011,1984,12,39
672,672,Police,Police Field Operations-Sworn,Master Police Officer,Norfolk,Male,Black,Bachelors Level Degree,Not a Veteran,2012,1987,11,36
673,673,Police,Police Investigative Svc-Sworn,Police Officer,Norfolk,Male,White,Bachelors Level Degree,Not a Veteran,2017,1989,6,34
674,674,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,Norfolk,Female,White,Bachelors Level Degree,Not a Veteran,2021,1995,2,28
675,675,Public Health,Public Health Vector Control,Environmental Health Asst I,Portsmouth,Male,Black,HS Graduate or Equivalent,Not a Veteran,2016,1959,7,64
676,676,Finance,Finance City Controller,Sr Accountant IV (Fin only),Virginia Beach,Female,Black,Bachelors Level Degree,Not a Veteran,2019,1974,4,49
677,677,Public Works,PW Division of Surveying,Engineering Technician IV,Virginia Beach,Male,White,Some College,Not a Veteran,2019,1969,4,54
678,678,Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Norfolk,Female,Black,Some Graduate School,Not a Veteran,2007,1989,16,34
679,679,Human Services,Hum Svc Div of Social Services,Comm Assessment Team Coord,Norfolk,Female,White,Bachelors Level Degree,Not a Veteran,2014,1989,9,34
680,680,Sheriff and Jail,Judicial - Sheriff and Jail,Inmate Classif Specialist,Norfolk,Female,Black,Not Indicated,Not a Veteran,1998,1973,25,50
681,681,City Council,City Council,Member Of Council,Norfolk,Female,White,Bachelors Level Degree,Not a Veteran,2016,1970,7,53
682,682,Sheriff and Jail,Judicial - Sheriff and Jail,Public Affairs Officer,Virginia Beach,Female,White,Bachelors Level Degree,Not a Veteran,2021,1978,2,45
683,683,Human Services,Hum Svc Div of Social Services,Human Services Aide,Chesapeake,Female,Black,Some College,Not a Veteran,2022,1989,1,34
684,684,Libraries,Branch Operations,Project Coordinator,Chesapeake,Male,White,Bachelors Level Degree,Not a Veteran,2023,1977,0,46
685,685,Police,Police Field Operations-Sworn,Police Officer,Chesapeake,Male,Am. Indian,HS Graduate or Equivalent,Not a Veteran,2021,1999,2,24
686,686,Public Works,PW Waste Management,Asst Supt of Waste Management,Norfolk,Male,Black,Bachelors Level Degree,Not a Veteran,2017,1978,6,45
687,687,Neighborhood Services,Neighborhood Development,NeighborhoodDevelopSpecialist,Norfolk,Male,White,Bachelors Level Degree,Not a Veteran,2023,1988,0,35
688,688,Finance,Finance City Controller,Bureau Manager,Virginia Beach,Male,White,Masters Level Degree,Not a Veteran,2013,1982,10,41
689,689,Human Resources,Human Resources,Comp & Staff Anly II (HR only),Reston,Female,White,Bachelors Level Degree,Not a Veteran,2020,1991,3,32
690,690,Police,Police Investigative Svc-Sworn,Police Lieutenant,Chesapeake,Female,Black,Bachelors Level Degree,Not a Veteran,2003,1976,20,47
691,691,Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist III,Chesapeake,Female,Black,Not Indicated,Not a Veteran,1989,1966,34,57
692,692,Public Works,PW Waste Management,Refuse Collector I,Norfolk,Male,Black,HS Graduate or Equivalent,Not a Veteran,2022,1999,1,24
693,693,Finance,Finance Retirement Bureau,Management Analyst II,Norfolk,Female,White,Bachelors Level Degree,Not a Veteran,2020,1979,3,44
694,694,Human Resources,Human Resources,Comp & Staff Anly II (HR only),Virginia Beach,Male,White,Bachelors Level Degree,Not a Veteran,2019,1970,4,53
695,695,City Attorney,Law,Legal Secretary II,Norfolk,Female,White,Bachelors Level Degree,Not a Veteran,2022,1972,1,51
696,696,Fire-Rescue,Fire-Rescue,Firefighter EMT - Advanced,Chesapeake,Male,NS,Some College,Not a Veteran,2022,2001,1,22
697,697,Budget and Strategic Planning,Office Budget & Strategic Plan,Budget & Policy Analyst II,Norfolk,Female,White,Not Indicated,Not a Veteran,2021,1995,2,28
698,698,Public Works,PW Storm Water Mgmt,Equipment Operator III,Norfolk,Male,White,Some College,Not a Veteran,2018,1977,5,46
699,699,Sheriff and Jail,Judicial - Sheriff and Jail,Records Clerk,Virginia Beach,Female,White,Bachelors Level Degree,Not a Veteran,2021,1993,2,30
700,700,Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Hampton,Female,Black,Some College,Not a Veteran,2017,1990,6,33
701,701,Fire-Rescue,Fire-Rescue,Firefighter EMT - Advanced,Virginia Beach,Male,Black,HS Graduate or Equivalent,Not a Veteran,2016,1991,7,32
702,702,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,Norfolk,Male,Black,Some College,Not a Veteran,2021,1990,2,33
703,703,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,Chesapeake,Female,Black,Bachelors Level Degree,Not a Veteran,2018,1994,5,29
704,704,Police,Police Field Operations-Sworn,Police Officer,Virginia Beach,Male,White,Bachelors Level Degree,Not a Veteran,2019,1997,4,26
705,705,Norfolk Community Services Board,NCSB-Opoid Replacement Clinic,Registered Nurse,Virginia Beach,Female,White,Associate Degree,Not a Veteran,2015,1949,8,74
706,706,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Lieutenant),Chesapeake,Female,White,Not Indicated,Not a Veteran,1994,1969,29,54
707,707,Human Services,Hum Svc Div of Social Services,Accountant II,Norfolk,Female,Black,Masters Level Degree,Not a Veteran,2022,1972,1,51
708,708,Neighborhood Services,Neighborhood Devel - IMPACT,Citizen Service Advisor Traine,Virginia Beach,Female,Black,Some College,Not a Veteran,2022,1997,1,26
709,709,Sheriff and Jail,Sheriff's 811 Market Place Prg,811 Food Service Manager,Norfolk,Female,Black,Some College,Not a Veteran,2016,1986,7,37
710,710,Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Hampton,Female,Black,Technical School,Not a Veteran,2022,1987,1,36
711,711,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),Virginia Beach,Female,White,Not Indicated,Not a Veteran,2002,1972,21,51
712,712,City Planning,Planning - Bldg Constr,City Planner Associate,Airway Heights,Male,Black,Bachelors Level Degree,Not a Veteran,2023,1995,0,28
713,713,City Attorney,Law,Assistant City Attorney II,Norfolk,Male,White,Doctorate (Professional),Not a Veteran,2019,1988,4,35
714,714,Libraries,Libraries - Administration,Accountant II,Norfolk,Female,White,Some College,Not a Veteran,2022,1959,1,64
715,715,Public Works,PW Storm Water Mgmt,Public Relations Specialist,Chesapeake,Female,White,Bachelors Level Degree,Not a Veteran,1995,1971,28,52
716,716,Fire-Rescue,Fire-Rescue,Firefighter EMT-P,Virginia Beach,Male,White,Not Indicated,Not a Veteran,2013,1986,10,37
717,717,Public Works,PW Div of Streets & Bridges,Street Maintenance Supv,Norfolk,Male,Black,Not Indicated,Not a Veteran,1987,1961,36,62
718,718,Libraries,Branch Operations,Library Associate  I,Norfolk,Female,Black,Associate Degree,Not a Veteran,2012,1995,11,28
719,719,Human Services,Hum Svc Div of Social Services,Human Services Aide,Chesapeake,Female,White,Some College,Not a Veteran,2022,1996,1,27
720,720,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),Norfolk,Male,Black,Not Indicated,Not a Veteran,2002,1972,21,51
721,721,Police,Police Administrative Svcs-Swn,Police Recruit,Virginia Beach,Male,Black,Some College,Not a Veteran,2022,2001,1,22
722,722,Public Works,PW Storm Water Mgmt,Crew Leader I,Norfolk,Male,Black,Not Indicated,Not a Veteran,1996,1964,27,59
723,723,Police,Police Investigative Svc-Sworn,Master Police Officer,Virginia Beach,Male,White,Not Indicated,Not a Veteran,2002,1968,21,55
724,724,Human Services,Hum Svc Div of Social Services,Family Services Worker I,Virginia Beach,Female,Black,Some College,Not a Veteran,2016,1978,7,45
725,725,"Cultural Facilities, Arts and Entertainment","CulturalFaciities,Arts&Entrmnt",Ticket Seller,Virginia Beach,Female,White,Bachelors Level Degree,Not a Veteran,2008,1950,15,73
726,726,Police,Police Field Operations-Sworn,Police Officer,Virginia Beach,Male,White,Some College,Not a Veteran,2017,1994,6,29
727,727,Sheriff and Jail,Judicial - Sheriff and Jail,Inmate Classification Manager,Virginia Beach,Female,Black,Not Indicated,Not a Veteran,2001,1976,22,47
728,728,Libraries,Branch Operations,Library Associate  I,Norfolk,Female,White,Bachelors Level Degree,Not a Veteran,2022,1989,1,34
729,729,Human Services,Hum Svc Div of Social Services,Self-Sufficiency Specialist II,Newport News,Female,Black,Some College,Not a Veteran,2015,1973,8,50
730,730,Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Chesapeake,Female,Black,Bachelors Level Degree,Not a Veteran,2019,1979,4,44
731,731,Fire-Rescue,Fire-Rescue,Firefighter EMT - Advanced,Moyock,Male,White,Not Indicated,Not a Veteran,2020,1998,3,25
732,732,Police,Police Field Operations-Sworn,Master Police Officer,Chesapeake,Male,White,Bachelors Level Degree,Not a Veteran,2015,1991,8,32
733,733,Fire-Rescue,Fire-Rescue,Firefighter EMT-P,Moyock,Male,White,Not Indicated,Not a Veteran,2013,1990,10,33
734,734,Police,Police Administrative Svcs-Swn,Police Recruit,Chesapeake,Male,Black,Some College,Not a Veteran,2022,2001,1,22
735,735,Libraries,Branch Operations,Library Assistant II,Norfolk,Female,Black,Some College,Not a Veteran,2021,2001,2,22
736,736,Fire-Rescue,Fire-Rescue,Firefighter EMT - Advanced,Norfolk,Male,White,HS Graduate or Equivalent,Not a Veteran,2019,1994,4,29
737,737,City Attorney,Law,Legal Coordinator II,Chesapeake,Female,White,Not Indicated,Not a Veteran,1990,1967,33,56
738,738,Transit,Transit - Transportation,Traffic Maintenance Tech I,Norfolk,Male,Black,Some College,Not a Veteran,2022,1991,1,32
739,739,Human Resources,Human Resources,Org Dev Analyst (HR only),Norfolk,Female,Black,Not Indicated,Not a Veteran,2014,1970,9,53
740,740,Police,Police Field Operations-Sworn,Police Officer,Poquoson,Female,White,Some College,Not a Veteran,2020,1995,3,28
741,741,Human Resources,Human Resources,Tota Abnce Mgmt Anly (HR only),Norfolk,Female,NS,Bachelors Level Degree,Not a Veteran,2022,1993,1,30
742,742,Human Services,Hum Svc Div of Social Services,Human Services Senior Manager,Virginia Beach,Female,Black,Not Indicated,Not a Veteran,1997,1970,26,53
743,743,Finance,Finance Retirement Bureau,Retirement Benefits Spec II,Chesapeake,Female,Black,Some College,Not a Veteran,2017,1989,6,34
744,744,Police,Police Field Operations-Sworn,Police Officer,Virginia Beach,Male,Black,Bachelors Level Degree,Not a Veteran,2022,1989,1,34
745,745,Fire-Rescue,Fire-Rescue,Firefighter EMT-P,Virginia Beach,Male,White,Bachelors Level Degree,Not a Veteran,2019,1990,4,33
746,746,Libraries,Branch Operations,Library Assistant II,Norfolk,Female,Asian,Bachelors Level Degree,Not a Veteran,2022,1959,1,64
747,747,Libraries,Branch Operations,Library Assistant II,Chesapeake,Female,White,Masters Level Degree,Not a Veteran,2022,1983,1,40
748,748,Public Works,PW Waste Management,Refuse Collector II,Norfolk,Male,Black,HS Graduate or Equivalent,Not a Veteran,2019,1984,4,39
749,749,Finance,Finance City Controller,Sr Accountant IV (Fin only),Virginia Beach,Female,Black,Masters Level Degree,Not a Veteran,2020,1970,3,53
750,750,Human Services,Hum Svc Div of Social Services,Family Services Worker I,Chesapeake,Female,Black,Masters Level Degree,Not a Veteran,2019,1982,4,41
751,751,Communications,Office of Communications,Communications Account Manager,Norfolk,Female,White,Bachelors Level Degree,Not a Veteran,2021,1976,2,47
752,752,Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Virginia Beach,Male,White,Masters Level Degree,Not a Veteran,2022,1970,1,53
753,753,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,Chesapeake,Female,Black,HS Graduate or Equivalent,Not a Veteran,2018,1995,5,28
754,754,Libraries,Collection and Support Service,Librarian I,Chesapeake,Female,White,Masters Level Degree,Not a Veteran,2016,1971,7,52
755,755,Human Services,Hum Svc Div of Social Services,Family Services Worker III,Norfolk,Female,Black,Masters Level Degree,Not a Veteran,2014,1984,9,39
756,756,Human Services,Hum Svc Div of Social Services,Human Services Aide,Norfolk,Female,Black,Some College,Not a Veteran,2005,1983,18,40
757,757,Human Services,Hum Svc Div of Social Services,Family Services Worker II,Williamsburg,Female,White,Masters Level Degree,Not a Veteran,2020,1993,3,30
758,758,Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Norfolk,Female,Black,Not Indicated,Not a Veteran,2012,1975,11,48
759,759,Police,Police Investigative Svc-Sworn,Police Sergeant,Virginia Beach,Male,Hispanic,Not Indicated,Not a Veteran,1996,1975,27,48
760,760,Commonwealths Attorney,Commonwealth's Attorney,Asst Commonwealth's Att II,Portsmouth,Male,White,Doctorate (Professional),Not a Veteran,2022,1990,1,33
761,761,Sheriff and Jail,Judicial - Sheriff and Jail,Assist Procurement Specialist,Norfolk,Female,Black,Not Indicated,Not a Veteran,2001,1967,22,56
762,762,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),Norfolk,Male,White,HS Graduate or Equivalent,Not a Veteran,2015,1984,8,39
763,763,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),Norfolk,Male,White,Some College,Not a Veteran,2015,1981,8,42
764,764,Police,Police Investigative Svc-Sworn,Police Officer,Virginia Beach,Male,White,Bachelors Level Degree,Not a Veteran,1993,1960,30,63
765,765,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Recruit),Suffolk,Male,Black,Some College,Not a Veteran,2023,2003,0,20
766,766,Fire-Rescue,Fire-Rescue,Firefighter EMT - Advanced,Virginia Beach,Female,White,Bachelors Level Degree,Not a Veteran,2020,1993,3,30
767,767,Police,Police Investigative Svc-Sworn,Police Sergeant,Chesapeake,Male,White,Not Indicated,Not a Veteran,1994,1968,29,55
768,768,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),Virginia Beach,Female,Black,Not Indicated,Not a Veteran,1995,1966,28,57
769,769,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),Chesapeake,Female,Black,Technical School,Not a Veteran,2014,1976,9,47
770,770,Public Works,PW Div of Streets & Bridges,Equipment Operator II,Norfolk,Male,Black,Less Than HS Graduate,Not a Veteran,2022,1967,1,56
771,771,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Recruit),Portsmouth,Male,Black,Bachelors Level Degree,Not a Veteran,2022,1999,1,24
772,772,Human Services,Hum Svc Div of Social Services,Benefit Programs Supervisor,Newport News,Female,Black,Bachelors Level Degree,Not a Veteran,2017,1984,6,39
773,773,Human Services,Hum Svc Div of Social Services,Family Services Worker I,Chesapeake,Female,White,Bachelors Level Degree,Not a Veteran,2022,1976,1,47
774,774,Fire-Rescue,Fire-Rescue,Firefighter EMT-P,Newport News,Female,White,Some College,Not a Veteran,2018,1995,5,28
775,775,Police,Police Administrative Svcs-Swn,Master Police Officer,Hampton,Male,White,Not Indicated,Not a Veteran,2000,1976,23,47
776,776,Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Portsmouth,Female,White,Associate Degree,Not a Veteran,2021,1964,2,59
777,777,Human Services,Hum Svc Div of Social Services,Self-Sufficiency Specialist I,Norfolk,Female,Black,Masters Level Degree,Not a Veteran,2020,1985,3,38
778,778,Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist II,Virginia Beach,Female,Hispanic,Bachelors Level Degree,Not a Veteran,2023,1992,0,31
779,779,Transit,Transit - Transportation,Traffic Maintenance Tech I,Virginia Beach,Male,Black,Bachelors Level Degree,Not a Veteran,2022,1995,1,28
780,780,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,Virginia Beach,Male,White,HS Graduate or Equivalent,Not a Veteran,1990,1962,33,61
781,781,Libraries,Branch Operations,Library Associate  I,Virginia Beach,Female,Black,Associate Degree,Not a Veteran,2015,1997,8,26
782,782,Human Services,Hum Svc Div of Social Services,Fiscal Monitoring Spec I,Virginia Beach,Female,White,Bachelors Level Degree,Not a Veteran,1988,1960,35,63
783,783,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),Chesapeake,Female,White,Not Indicated,Not a Veteran,1999,1962,24,61
784,784,Neighborhood Services,Neighborhood Devel - IMPACT,Citizen Service Advisor II,Norfolk,Female,Black,HS Graduate or Equivalent,Not a Veteran,2016,1961,7,62
785,785,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),Chesapeake,Male,White,Not Indicated,Not a Veteran,1998,1976,25,47
786,786,Sheriff and Jail,Judicial - Sheriff and Jail,Civilian Court Security,Norfolk,Male,White,Not Indicated,Not a Veteran,1996,1963,27,60
787,787,Slover Library,Slover Library,Library Assistant II,Virginia Beach,Female,White,Some College,Not a Veteran,2008,1984,15,39
788,788,Public Works,PW Div of Streets & Bridges,Street Maintenance Supv,Norfolk,Male,Black,Not Indicated,Not a Veteran,1996,1963,27,60
789,789,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Recruit),Virginia Beach,Male,Asian,HS Graduate or Equivalent,Not a Veteran,2023,1990,0,33
790,790,City Attorney,Law,Chief Deputy City Attorney,Norfolk,Male,White,Not Indicated,Not a Veteran,2002,1972,21,51
791,791,Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist II,Norfolk,Male,Black,Not Indicated,Not a Veteran,1997,1976,26,47
792,792,Finance,Finance City Controller,Sr Accounting Mgr (Finance),Suffolk,Male,Black,Masters Level Degree,Not a Veteran,2019,1984,4,39
793,793,Police,Police Field Operations-Civiln,Humane Officer I,Virginia Beach,Female,White,HS Graduate or Equivalent,Not a Veteran,2021,2000,2,23
794,794,City Planning,Planning-Planning,Principal Planner,Chesapeake,Female,Hawaiian,Masters Level Degree,Not a Veteran,2020,1984,3,39
795,795,Fire-Rescue,Fire-Rescue,Firefighter EMT - Advanced,Virginia Beach,Male,White,Not Indicated,Not a Veteran,2013,1972,10,51
796,796,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),Chesapeake,Male,White,Some College,Not a Veteran,2015,1975,8,48
797,797,Sheriff and Jail,Judicial - Sheriff and Jail,Secretary II,Norfolk,Female,White,Some College,Not a Veteran,2016,1974,7,49
798,798,Libraries,Branch Operations,Library Associate  I,Norfolk,Female,White,Bachelors Level Degree,Not a Veteran,2022,1999,1,24
799,799,Police,Police Administrative Svcs-Swn,Police Officer,Suffolk,Male,White,Bachelors Level Degree,Not a Veteran,2023,1971,0,52
800,800,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,Norfolk,Female,Black,Some College,Not a Veteran,2022,1984,1,39
801,801,Finance,Finance City Controller,Customer Service Supervisor,Virginia Beach,Female,Hispanic,Bachelors Level Degree,Not a Veteran,2014,1982,9,41
802,802,Police,Police Investigative Svc-Sworn,Police Sergeant,Chesapeake,Male,White,Not Indicated,Not a Veteran,2000,1970,23,53
803,803,City Planning,Planning - Bldg Constr,"Codes Specialist, Senior",King George,Male,Black,Some College,Not a Veteran,2015,1980,8,43
804,804,Human Services,Hum Svc Div of Social Services,Benefit Programs Supervisor,Portsmouth,Female,Black,Some Graduate School,Not a Veteran,2014,1986,9,37
805,805,Neighborhood Services,Neighborhood Development,NeighborhoodDev Specialist Sr,Norfolk,Female,Black,Not Indicated,Not a Veteran,2013,1963,10,60
806,806,Fire-Rescue,Fire-Rescue,Firefighter EMT - Advanced,Virginia Beach,Male,White,Associate Degree,Not a Veteran,2016,1992,7,31
807,807,Fire-Rescue,Fire-Rescue,Firefighter EMT-P,Chesapeake,Male,White,Some College,Not a Veteran,2016,1992,7,31
808,808,Human Services,Hum Svc Juvenile Detention Ctr,Detention Center Asst Supt,Virginia Beach,Female,Black,Not Indicated,Not a Veteran,1995,1969,28,54
809,809,Libraries,Programming Services,Library Associate II,Norfolk,Female,Black,Bachelors Level Degree,Not a Veteran,2018,1993,5,30
810,810,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Recruit),Suffolk,Female,Black,HS Graduate or Equivalent,Not a Veteran,2022,2004,1,19
811,811,Human Resources,Human Resources,Emp Relations Mgr (HR only),Chesapeake,Female,White,Bachelors Level Degree,Not a Veteran,2014,1988,9,35
812,812,Public Works,PW Div of Streets & Bridges,Equipment Operator III,Virginia Beach,Male,Black,Technical School,Not a Veteran,2012,1973,11,50
813,813,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),Virginia Beach,Male,White,HS Graduate or Equivalent,Not a Veteran,2013,1979,10,44
814,814,Human Resources,Human Resources,Human Resources Spec (HR only),Chesapeake,Female,White,Associate Degree,Not a Veteran,2002,1971,21,52
815,815,Norfolk Community Services Board,NCSB-Case Management,Case Manager III,Norfolk,Female,Black,Masters Level Degree,Not a Veteran,2022,1996,1,27
816,816,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Recruit),Norfolk,Female,Black,HS Graduate or Equivalent,Not a Veteran,2022,2001,1,22
817,817,Norfolk Healthcare Consortium,Healthcare Administration,HR Benefits Analy II (HR Only),Virginia Beach,Female,Black,Some College,Not a Veteran,2022,1991,1,32
818,818,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,Portsmouth,Female,Hispanic,Some College,Not a Veteran,2021,1993,2,30
819,819,City Planning,City Planning - Dir Office,Financial Operations Mgr,Norfolk,Female,White,Not Indicated,Not a Veteran,1999,1969,24,54
820,820,Norfolk Healthcare Consortium,Healthcare Administration,HR Benefits Analy II (HR Only),Chesapeake,Female,Black,Not Indicated,Not a Veteran,1998,1973,25,50
821,821,Police,Police Field Operations-Sworn,Police Sergeant,Norfolk,Male,White,Bachelors Level Degree,Not a Veteran,2012,1989,11,34
